away,cross,home,ones,twos,year
Egypt,4.32,Cameroon,1.29,7.67,2006
Togo,2.63,Congo,4.51,1.93,2006
Mali,4.10,Senegal,1.33,8.42,2006
D.R. Congo,2.88,South Africa,1.62,4.98,2006
Ivory Coast,4.05,Sudan,7.52,1.36,2006
Burkina Faso,3.13,Uganda,2.50,2.50,2006
Algeria,3.15,Gabon,2.31,2.72,2006
Romania,3.27,Finland,3.12,1.92,2006
Northern Ireland,3.80,Austria,1.46,6.43,2006
Norway,3.23,Belarus,2.48,2.61,2006
Moldova,6.72,Italy,1.12,9.99,2006
Latvia,5.11,Portugal,1.22,9.94,2006
Spain,9.50,San Marino,9.99,1.02,2006
Russia,3.16,Slovakia,2.53,2.53,2006
Scotland,3.35,Slovenia,1.84,3.99,2006
Estonia,4.67,Luxembourg,9.70,1.25,2006
Croatia,3.08,Hungary,3.30,2.08,2006
FYR Macedonia,7.25,Netherlands,1.10,9.99,2006
Iceland,7.17,Sweden,1.11,9.99,2006
Bulgaria,4.42,Malta,8.99,1.29,2006
Turkey,5.56,Albania,9.36,1.20,2006
Georgia,5.55,Greece,1.20,9.87,2006
Denmark,6.83,Kazakhstan,9.99,1.12,2006
Czech Republic,3.95,Finland,6.92,1.41,2006
Armenia,3.15,Andorra,3.17,2.12,2006
USA,3.17,Costa Rica,1.97,2.74,2006
Guatemala,5.08,Mexico,1.18,9.08,2006
Trinidad & Tobago,3.18,Panama,2.97,1.99,2006
Chile,3.44,Colombia,1.46,4.38,2006
Uruguay,2.93,Ecuador,1.92,3.16,2006
Paraguay,3.24,Venezuela,2.63,2.12,2006
Liechtenstein,9.66,Portugal,1.02,9.99,2006
Morocco,3.21,Tunisia,1.84,3.33,2006
Slovenia,4.31,Italy,1.28,8.19,2006
Spain,3.27,Belgium,3.98,1.72,2006
France,3.09,Switzerland,3.87,1.80,2006
Netherlands,3.06,Czech Republic,2.31,2.63,2006
Sweden,3.08,Croatia,2.12,2.92,2006
Moldova,5.92,Norway,1.18,9.99,2006
Faroe Islands,8.33,Israel,1.06,9.99,2006
San Marino,8.83,Bosnia & Herzegovina,1.04,9.99,2006
Greece,3.62,Denmark,1.73,3.61,2006
Ireland,4.92,Cyprus,9.49,1.22,2006
Serbia and Montenegro,3.72,Lithuania,6.17,1.41,2006
Albania,4.88,Ukraine,1.25,9.37,2006
Kazakhstan,4.31,Georgia,1.31,8.87,2006
Hungary,3.41,Bulgaria,1.60,4.39,2006
Austria,6.06,England,1.16,9.99,2006
Luxembourg,9.99,Russia,1.01,9.99,2006
Estonia,4.99,Slovakia,1.23,9.62,2006
Egypt,4.32,Cameroon,1.29,7.67,2006
Togo,2.63,Congo,4.51,1.93,2006
Mali,4.10,Senegal,1.33,8.42,2006
D.R. Congo,2.88,South Africa,1.62,4.98,2006
Ivory Coast,4.05,Sudan,7.52,1.36,2006
Burkina Faso,3.13,Uganda,2.50,2.50,2006
Algeria,3.15,Gabon,2.31,2.72,2006
Romania,3.27,Finland,3.12,1.92,2006
Belarus,3.81,Scotland,1.42,5.86,2006
Zimbabwe,4.40,Nigeria,1.29,8.70,2006
Angola,3.62,Rwanda,5.93,1.49,2006
Wales,3.11,Northern Ireland,2.28,2.62,2006
Bahrain,3.31,Uzbekistan,1.65,4.11,2006
Zambia,3.30,Liberia,3.85,1.80,2006
Trinidad & Tobago,3.63,Costa Rica,1.50,5.63,2006
USA,3.28,Guatemala,3.67,1.87,2006
Panama,7.50,Mexico,1.08,9.99,2006
Serbia and Montenegro,3.59,Spain,1.52,6.20,2006
Sweden,3.49,Hungary,4.71,1.63,2006
France,3.09,Ireland,3.67,2.01,2006
England,6.14,Northern Ireland,9.99,1.17,2006
San Marino,9.33,Belgium,1.02,9.99,2006
Andorra,9.66,Netherlands,1.01,9.99,2006
Wales,4.55,Poland,1.29,9.31,2006
Switzerland,3.76,Cyprus,6.13,1.47,2006
Slovenia,3.17,Moldova,3.36,2.03,2006
Georgia,6.55,Denmark,1.13,9.99,2006
Luxembourg,4.33,Liechtenstein,1.33,8.57,2006
Italy,3.56,Belarus,6.39,1.49,2006
Israel,5.60,Faroe Islands,9.76,1.19,2006
Bosnia & Herzegovina,3.16,Lithuania,2.33,2.77,2006
Scotland,3.47,Norway,1.59,5.39,2006
Croatia,8.00,Malta,9.99,1.06,2006
Turkey,3.20,Ukraine,2.82,2.23,2006
Austria,3.71,Azerbaijan,6.40,1.48,2006
Iceland,4.01,Bulgaria,1.36,7.71,2006
FYR Macedonia,3.91,Finland,1.41,6.73,2006
Slovakia,3.24,Latvia,3.00,2.15,2006
Armenia,9.33,Czech Republic,1.03,9.99,2006
Portugal,3.09,Russia,2.60,2.50,2006
Greece,6.83,Kazakhstan,9.99,1.12,2006
Nigeria,3.23,Algeria,3.73,1.84,2006
Uganda,5.50,Ghana,1.17,9.99,2006
Cameroon,3.20,Ivory Coast,2.18,3.05,2006
Liberia,5.15,Togo,1.21,9.75,2006
Gabon,3.90,Angola,1.40,7.00,2006
Rwanda,3.92,Zimbabwe,1.37,7.15,2006
Costa Rica,3.21,Panama,2.99,2.15,2006
Mexico,2.98,USA,2.22,3.20,2006
Peru,3.13,Venezuela,2.12,3.17,2006
Guatemala,3.22,Trinidad & Tobago,2.22,2.85,2006
Luxembourg,9.25,Portugal,1.01,9.99,2006
Faroe Islands,9.99,France,1.02,9.99,2006
Malta,7.50,Hungary,1.05,9.99,2006
Norway,3.15,Slovenia,2.45,2.73,2006
Austria,3.63,Poland,1.54,5.73,2006
Lithuania,4.39,Serbia and Montenegro,1.29,9.16,2006
Croatia,3.59,Iceland,6.15,1.48,2006
Ireland,6.92,Faroe Islands,9.99,1.11,2006
Malta,5.65,Iceland,1.14,9.99,2006
Uzbekistan,4.33,Saudi Arabia,1.33,7.48,2006
Scotland,3.23,Belarus,1.91,3.78,2006
Albania,6.30,Denmark,1.14,9.99,2006
Netherlands,3.51,Finland,5.77,1.53,2006
Slovakia,7.40,Luxembourg,9.99,1.06,2006
South Korea,3.20,Kuwait,3.50,1.93,2006
Armenia,6.23,Romania,1.12,9.99,2006
Portugal,3.89,Estonia,7.71,1.40,2006
Liechtenstein,6.67,Latvia,1.11,9.99,2006
FYR Macedonia,7.17,Czech Republic,1.09,9.99,2006
Turkey,5.90,Kazakhstan,9.99,1.14,2006
Bahrain,3.67,Iran,1.44,6.50,2006
Japan,3.85,North Korea,6.77,1.45,2006
Uruguay,3.05,Peru,2.27,2.81,2006
Sudan,6.00,Egypt,1.14,9.99,2006
