away,cross,home,ones,twos,year
Iraq,5.92,Japan,1.23,12.58,2014
Solomon Islands,6.15,New Zealand,1.22,12.39,2014
Czech Republic,3.26,Denmark,2.11,3.66,2014
Serbia,3.11,Scotland,2.64,2.84,2014
Mexico,3.64,Costa Rica,4.86,1.71,2014
Antigua and Barbuda,5.63,Guatemala,1.24,12.81,2014
Guyana,6.33,El Salvador,1.19,15.88,2014
Venezuela,3.33,Peru,1.92,4.19,2014
USA,3.35,Jamaica,4.44,1.85,2014
Panama,3.12,Canada,2.29,3.26,2014
Paraguay,5.58,Argentina,1.26,11.54,2014
Bolivia,4.87,Ecuador,1.34,9.91,2014
Uruguay,3.25,Colombia,2.09,3.69,2014
Honduras,4.21,Cuba,7.77,1.44,2014
Faroe Islands,26.07,Germany,1.01,59.43,2014
Norway,3.43,Iceland,3.95,1.96,2014
Portugal,18.03,Luxembourg,38.79,1.02,2014
England,5.22,Moldova,11.45,1.29,2014
Italy,3.41,Bulgaria,5.46,1.73,2014
Belgium,3.65,Wales,4.96,1.73,2014
Cyprus,3.42,Albania,2.02,3.74,2014
Hungary,11.13,Andorra,24.69,1.08,2014
France,3.62,Finland,5.57,1.67,2014
Greece,3.27,Latvia,4.27,1.94,2014
Poland,3.23,Montenegro,2.38,3.05,2014
Turkey,4.43,Netherlands,1.45,7.10,2014
Switzerland,3.26,Slovenia,2.97,2.42,2014
FYR Macedonia,5.37,Croatia,1.28,12.05,2014
Slovakia,3.26,Lithuania,3.56,2.14,2014
Romania,3.26,Estonia,3.66,2.11,2014
Armenia,3.94,Malta,6.02,1.58,2014
Belarus,3.21,Georgia,2.59,2.80,2014
Bosnia & Herzegovina,6.52,Liechtenstein,15.54,1.19,2014
Israel,3.33,Azerbaijan,4.03,1.97,2014
Ireland,3.60,Kazakhstan,5.84,1.65,2014
Northern Ireland,6.72,Russia,1.18,18.26,2014
New Zealand,4.18,New Caledonia,5.96,1.47,2014
Tahiti,3.51,Solomon Islands,2.76,2.37,2014
USA,4.06,Guatemala,7.23,1.46,2014
Mexico,4.88,El Salvador,8.48,1.34,2014
Cuba,6.37,Panama,1.18,16.06,2014
Costa Rica,4.52,Guyana,8.64,1.36,2014
Honduras,3.26,Canada,2.08,3.56,2014
Jamaica,4.62,Antigua and Barbuda,9.15,1.35,2014
Qatar,4.35,Iran,1.38,8.74,2014
Oman,3.26,Iraq,1.92,4.09,2014
Lebanon,10.64,South Korea,1.05,22.69,2014
Japan,3.25,Australia,2.80,2.46,2014
Colombia,3.15,Ecuador,2.44,3.03,2014
Algeria,3.03,Mali,2.82,2.57,2014
Peru,5.42,Uruguay,1.26,12.26,2014
Egypt,3.05,Guinea,2.84,2.45,2014
Angola,2.96,Liberia,2.62,2.80,2014
Cameroon,2.94,Libya,3.90,2.03,2014
Togo,3.86,D.R. Congo,1.53,6.03,2014
Benin,3.21,Rwanda,2.46,2.79,2014
Central Africa,3.23,Ethiopia,1.81,4.69,2014
Sudan,3.92,Lesotho,6.47,1.49,2014
Zimbabwe,3.16,Mozambique,1.91,4.21,2014
Gambia,3.06,Tanzania,2.16,3.45,2014
Chile,3.31,Venezuela,2.63,2.63,2014
Paraguay,3.15,Bolivia,2.97,2.47,2014
Ivory Coast,3.14,Morocco,3.42,2.15,2014
Tunisia,2.98,Cape Verde,2.87,2.60,2014
Sierra Leone,3.27,Equatorial Guinea,1.96,3.90,2014
Kenya,3.15,Namibia,1.99,3.92,2014
Niger,3.39,Congo,1.76,4.48,2014
Burkina Faso,3.55,Gabon,1.65,5.29,2014
Italy,3.41,Bulgaria,5.46,1.73,2014
Belgium,3.65,Wales,4.96,1.73,2014
Cyprus,3.42,Albania,2.02,3.74,2014
Hungary,11.13,Andorra,24.69,1.08,2014
France,3.62,Finland,5.57,1.67,2014
Greece,3.27,Latvia,4.27,1.94,2014
Poland,3.23,Montenegro,2.38,3.05,2014
Turkey,4.43,Netherlands,1.45,7.10,2014
Switzerland,3.26,Slovenia,2.97,2.42,2014
FYR Macedonia,5.37,Croatia,1.28,12.05,2014
Slovakia,3.26,Lithuania,3.56,2.14,2014
Romania,3.26,Estonia,3.66,2.11,2014
Armenia,3.94,Malta,6.02,1.58,2014
Belarus,3.21,Georgia,2.59,2.80,2014
Bosnia & Herzegovina,6.52,Liechtenstein,15.54,1.19,2014
Israel,3.33,Azerbaijan,4.03,1.97,2014
Ireland,3.60,Kazakhstan,5.84,1.65,2014
Northern Ireland,6.72,Russia,1.18,18.26,2014
New Zealand,4.18,New Caledonia,5.96,1.47,2014
Tahiti,3.51,Solomon Islands,2.76,2.37,2014
USA,4.06,Guatemala,7.23,1.46,2014
Mexico,4.88,El Salvador,8.48,1.34,2014
Cuba,6.37,Panama,1.18,16.06,2014
Costa Rica,4.52,Guyana,8.64,1.36,2014
Honduras,3.26,Canada,2.08,3.56,2014
Jamaica,4.62,Antigua and Barbuda,9.15,1.35,2014
Qatar,4.35,Iran,1.38,8.74,2014
Oman,3.26,Iraq,1.92,4.09,2014
Lebanon,10.64,South Korea,1.05,22.69,2014
Japan,3.25,Australia,2.80,2.46,2014
Colombia,3.15,Ecuador,2.44,3.03,2014
Algeria,3.03,Mali,2.82,2.57,2014
Peru,5.42,Uruguay,1.26,12.26,2014
Egypt,3.05,Guinea,2.84,2.45,2014
Angola,2.96,Liberia,2.62,2.80,2014
Cameroon,2.94,Libya,3.90,2.03,2014
Togo,3.86,D.R. Congo,1.53,6.03,2014
Benin,3.21,Rwanda,2.46,2.79,2014
Central Africa,3.23,Ethiopia,1.81,4.69,2014
Sudan,3.92,Lesotho,6.47,1.49,2014
Zimbabwe,3.16,Mozambique,1.91,4.21,2014
Gambia,3.06,Tanzania,2.16,3.45,2014
Chile,3.31,Venezuela,2.63,2.63,2014
Paraguay,3.15,Bolivia,2.97,2.47,2014
Ivory Coast,3.14,Morocco,3.42,2.15,2014
Tunisia,2.98,Cape Verde,2.87,2.60,2014
Sierra Leone,3.27,Equatorial Guinea,1.96,3.90,2014
Kenya,3.15,Namibia,1.99,3.92,2014
Niger,3.39,Congo,1.76,4.48,2014
Burkina Faso,3.55,Gabon,1.65,5.29,2014
New Caledonia,4.13,Vanuatu,5.00,1.50,2014
Tahiti,10.00,Samoa,12.00,1.08,2014
Singapore,6.32,Iraq,1.15,15.34,2014
Indonesia,8.34,Bahrain,1.10,17.81,2014
Qatar,3.61,Iran,1.64,5.41,2014
Kuwait,5.76,South Korea,1.21,11.59,2014
Lebanon,3.15,United Arab Emirates,2.35,2.83,2014
Uzbekistan,5.38,Japan,1.23,11.48,2014
Saudi Arabia,3.54,Australia,1.70,5.03,2014
Thailand,3.99,Oman,1.47,7.15,2014
North Korea,3.69,Tajikistan,6.71,1.52,2014
Jordan,3.41,China,1.85,4.27,2014
Somalia,7.90,Ethiopia,1.10,12.68,2014
Suriname,7.02,El Salvador,1.13,12.93,2014
Bolivia,4.09,Venezuela,1.45,7.90,2014
Dominica,11.00,Panama,1.03,27.00,2014
Saint Kitts and Nevis,7.91,Canada,1.09,19.46,2014
United States Virgin Islands,10.06,Curacao,1.04,21.38,2014
Paraguay,3.42,Chile,1.87,4.33,2014
Argentina,3.24,Colombia,3.55,2.12,2014
Peru,3.66,Ecuador,1.66,5.37,2014
Guyana,3.51,Trinidad & Tobago,1.62,4.81,2014
Antigua and Barbuda,3.39,Haiti,1.91,3.46,2014
Guatemala,3.82,Grenada,5.69,1.49,2014
Belize,3.21,Saint Vincent and the Grenadines,2.16,2.97,2014
Djibouti,10.88,Namibia,1.02,27.50,2014
Comoros,7.06,Mozambique,1.12,13.28,2014
Oman,3.77,Saudi Arabia,1.50,7.18,2014
Iraq,2.85,Jordan,2.48,3.18,2014
Bahrain,3.43,Qatar,1.80,4.55,2014
Guinea Bissau,4.14,Togo,1.39,6.84,2014
Sao Tome and Principe,10.08,Congo,1.03,32.96,2014
Swaziland,6.76,D.R. Congo,1.17,10.99,2014
United Arab Emirates,3.70,Kuwait,1.59,5.79,2014
Eritrea,4.36,Rwanda,1.29,9.17,2014
Seychelles,6.33,Kenya,1.16,12.34,2014
Chad,3.68,Tanzania,1.52,5.55,2014
Tajikistan,9.60,Uzbekistan,1.06,21.67,2014
Equatorial Guinea,2.95,Madagascar,2.82,2.59,2014
Lesotho,3.74,Burundi,1.47,6.06,2014
South Korea,5.19,Lebanon,11.02,1.26,2014
Iran,5.50,Indonesia,13.16,1.21,2014
China,3.85,Singapore,6.54,1.52,2014
Australia,4.58,Thailand,9.56,1.35,2014
Japan,3.36,North Korea,4.95,1.75,2014
Dominican Republic,4.28,Cayman Islands,7.29,1.35,2014
Bermuda,3.53,Barbados,4.94,1.60,2014
Saint Lucia,7.34,Puerto Rico,1.11,16.62,2014
Ethiopia,6.16,Somalia,13.27,1.14,2014
Grenada,6.59,Guatemala,1.16,12.42,2014
Dominica,4.33,Nicaragua,1.35,7.52,2014
Venezuela,3.77,Colombia,1.55,6.80,2014
Ecuador,3.69,Paraguay,1.61,6.06,2014
Trinidad & Tobago,3.10,Guyana,2.70,2.45,2014
Canada,4.72,Saint Kitts and Nevis,7.77,1.31,2014
Puerto Rico,3.69,Saint Lucia,4.96,1.58,2014
Haiti,3.27,Antigua and Barbuda,1.95,3.49,2014
El Salvador,3.50,Suriname,5.57,1.57,2014
Chile,3.70,Uruguay,1.64,5.68,2014
Saint Vincent and the Grenadines,3.47,Belize,1.67,4.50,2014
Bolivia,9.70,Argentina,1.09,29.89,2014
Curacao,5.32,United States Virgin Islands,9.84,1.22,2014
Barbados,4.01,Bermuda,1.40,6.87,2014
Cayman Islands,6.24,Dominican Republic,1.15,12.29,2014
Burundi,3.14,Lesotho,2.55,2.50,2014
Thailand,4.47,Saudi Arabia,1.35,8.93,2014
Togo,3.13,Guinea Bissau,2.21,3.00,2014
Singapore,6.63,Jordan,1.13,15.66,2014
Indonesia,6.64,Qatar,1.14,14.61,2014
Iran,3.39,Bahrain,4.59,1.78,2014
Tanzania,3.10,Chad,2.54,2.55,2014
Madagascar,3.61,Equatorial Guinea,1.53,5.63,2014
Congo,5.69,Sao Tome and Principe,10.69,1.19,2014
Lebanon,5.49,Kuwait,1.21,11.31,2014
China,3.27,Iraq,2.28,3.02,2014
D.R. Congo,3.24,Swaziland,3.91,1.83,2014
Australia,4.19,Oman,7.73,1.41,2014
Kenya,3.16,Seychelles,3.57,1.94,2014
North Korea,3.50,Uzbekistan,1.65,5.57,2014
South Korea,4.02,United Arab Emirates,6.70,1.48,2014
Rwanda,3.21,Eritrea,3.56,1.92,2014
Mozambique,3.93,Comoros,6.96,1.40,2014
Namibia,7.02,Djibouti,14.57,1.11,2014
Japan,7.69,Tajikistan,22.25,1.09,2014
Saint Vincent and the Grenadines,3.49,Grenada,1.66,4.69,2014
Belize,7.62,Guatemala,1.10,16.51,2014
Cayman Islands,11.50,El Salvador,1.02,26.25,2014
Nicaragua,7.81,Panama,1.09,17.11,2014
Argentina,4.25,Venezuela,8.18,1.43,2014
Saint Lucia,7.00,Saint Kitts and Nevis,1.13,13.29,2014
United States Virgin Islands,11.93,Antigua and Barbuda,1.02,26.15,2014
Guyana,3.28,Bermuda,3.05,2.12,2014
Puerto Rico,10.87,Canada,1.04,22.26,2014
Peru,3.87,Chile,1.56,6.31,2014
Uruguay,3.21,Paraguay,3.19,2.30,2014
Dominican Republic,3.61,Suriname,1.62,4.83,2014
Barbados,8.23,Trinidad & Tobago,1.09,17.47,2014
Colombia,3.17,Bolivia,2.43,3.03,2014
Curacao,8.25,Haiti,1.09,17.30,2014
Bahrain,4.40,Iran,1.37,8.62,2014
Kuwait,3.48,Lebanon,4.70,1.74,2014
Iraq,3.36,China,1.87,4.16,2014
Qatar,3.74,Indonesia,4.89,1.66,2014
Jordan,3.76,Singapore,4.75,1.67,2014
United Arab Emirates,6.79,South Korea,1.13,15.59,2014
Saudi Arabia,3.22,Thailand,3.26,2.19,2014
Tajikistan,11.51,Japan,1.04,28.49,2014
Oman,7.20,Australia,1.12,16.74,2014
Uzbekistan,3.09,North Korea,2.30,3.10,2014
Paraguay,3.12,Peru,2.57,2.87,2014
Suriname,4.48,Cayman Islands,8.05,1.32,2014
Antigua and Barbuda,4.20,Curacao,5.79,1.43,2014
Saint Kitts and Nevis,3.30,Puerto Rico,1.70,4.50,2014
Chile,4.37,Argentina,1.41,8.61,2014
Trinidad & Tobago,4.39,Bermuda,8.35,1.32,2014
Panama,5.25,Dominica,10.13,1.23,2014
Canada,8.37,Saint Lucia,15.96,1.09,2014
Grenada,3.55,Belize,1.61,4.92,2014
Venezuela,4.07,Ecuador,1.49,7.28,2014
Guyana,3.12,Barbados,2.67,2.45,2014
Haiti,7.64,United States Virgin Islands,14.87,1.11,2014
El Salvador,4.50,Dominican Republic,7.48,1.34,2014
Guatemala,5.73,Saint Vincent and the Grenadines,10.71,1.19,2014
Bolivia,6.28,Uruguay,1.20,15.63,2014
Grenada,3.18,Saint Vincent and the Grenadines,2.05,3.28,2014
Panama,5.09,Nicaragua,9.28,1.24,2014
El Salvador,7.50,Cayman Islands,14.50,1.10,2014
Haiti,3.58,Curacao,4.88,1.61,2014
Bermuda,4.50,Guyana,1.31,8.26,2014
Canada,5.50,Puerto Rico,10.50,1.20,2014
Guatemala,4.87,Belize,8.60,1.27,2014
Saint Kitts and Nevis,3.52,Saint Lucia,6.06,1.49,2014
Trinidad & Tobago,4.11,Barbados,6.83,1.39,2014
Suriname,3.29,Dominican Republic,1.99,3.33,2014
Antigua and Barbuda,5.75,United States Virgin Islands,12.25,1.21,2014
Australia,3.18,Saudi Arabia,3.06,2.31,2014
South Korea,3.60,Kuwait,5.08,1.64,2014
Iran,3.18,Qatar,3.33,2.13,2014
China,3.08,Jordan,2.55,2.74,2014
United Arab Emirates,4.46,Lebanon,7.34,1.34,2014
Japan,3.48,Uzbekistan,4.87,1.68,2014
Bahrain,3.14,Indonesia,3.29,2.11,2014
Iraq,3.35,Singapore,3.77,1.88,2014
Oman,3.13,Thailand,2.72,2.38,2014
Tajikistan,6.32,North Korea,1.14,12.17,2014
Saint Vincent and the Grenadines,8.45,Guatemala,1.09,19.75,2014
Dominican Republic,6.63,El Salvador,1.14,13.50,2014
Saint Lucia,13.25,Canada,1.02,28.00,2014
Barbados,3.56,Guyana,1.53,5.83,2014
Curacao,3.43,Antigua and Barbuda,1.70,4.47,2014
Spain,3.38,Netherlands,3.90,2.02,2010
Germany,3.68,Uruguay,3.86,1.93,2010
Spain,3.38,Germany,2.81,2.53,2010
Netherlands,3.55,Uruguay,5.68,1.69,2010
Spain,4.27,Paraguay,9.00,1.42,2010
Germany,3.29,Argentina,2.32,3.19,2010
Ghana,3.37,Uruguay,1.86,4.52,2010
Brazil,3.28,Netherlands,4.10,2.00,2010
Portugal,3.23,Spain,2.00,4.19,2010
Japan,3.17,Paraguay,2.20,3.60,2010
Chile,3.82,Brazil,1.53,6.99,2010
Slovakia,4.50,Netherlands,1.39,9.63,2010
Mexico,3.73,Argentina,1.61,6.24,2010
England,3.06,Germany,2.97,2.60,2010
Ghana,3.10,USA,2.41,3.22,2010
South Korea,3.34,Uruguay,1.84,4.90,2010
Spain,4.15,Chile,6.89,1.51,2010
Honduras,4.01,Switzerland,1.55,6.62,2010
Ivory Coast,4.99,North Korea,9.35,1.35,2010
Brazil,2.92,Portugal,3.51,2.38,2010
Netherlands,3.81,Cameroon,5.53,1.65,2010
Japan,3.24,Denmark,2.26,3.37,2010
New Zealand,4.48,Paraguay,1.39,9.53,2010
Italy,3.84,Slovakia,6.97,1.55,2010
Serbia,3.59,Australia,4.46,1.83,2010
Germany,4.34,Ghana,7.80,1.45,2010
England,4.31,Slovenia,8.07,1.45,2010
Algeria,3.60,USA,1.87,4.22,2010
Argentina,4.24,Greece,7.35,1.48,2010
South Korea,3.30,Nigeria,2.93,2.47,2010
South Africa,3.48,France,2.09,3.54,2010
Uruguay,1.96,Mexico,3.74,3.65,2010
Honduras,8.78,Spain,1.12,24.25,2010
Switzerland,3.18,Chile,2.17,3.67,2010
North Korea,4.48,Portugal,1.37,10.32,2010
Ivory Coast,3.48,Brazil,1.73,5.42,2010
New Zealand,5.89,Italy,1.22,16.73,2010
Paraguay,3.24,Slovakia,3.87,2.07,2010
Denmark,3.20,Cameroon,2.89,2.57,2010
Australia,3.15,Ghana,2.37,3.23,2010
Japan,4.16,Netherlands,1.44,8.95,2010
Algeria,5.88,England,1.23,15.93,2010
USA,3.22,Slovenia,3.75,2.12,2010
Serbia,3.65,Germany,1.64,5.74,2010
Mexico,3.15,France,2.09,3.95,2010
Nigeria,3.18,Greece,3.79,2.12,2010
South Korea,3.87,Argentina,1.51,7.59,2010
Uruguay,3.02,South Africa,3.37,2.38,2010
Switzerland,5.30,Spain,1.27,14.32,2010
Chile,3.46,Honduras,5.81,1.70,2010
Spain,3.38,Netherlands,3.90,2.02,2010
Germany,3.68,Uruguay,3.86,1.93,2010
Spain,3.38,Germany,2.81,2.53,2010
Netherlands,3.55,Uruguay,5.68,1.69,2010
Spain,4.27,Paraguay,9.00,1.42,2010
Germany,3.29,Argentina,2.32,3.19,2010
Ghana,3.37,Uruguay,1.86,4.52,2010
Brazil,3.28,Netherlands,4.10,2.00,2010
Portugal,3.23,Spain,2.00,4.19,2010
Japan,3.17,Paraguay,2.20,3.60,2010
Chile,3.82,Brazil,1.53,6.99,2010
Slovakia,4.50,Netherlands,1.39,9.63,2010
Mexico,3.73,Argentina,1.61,6.24,2010
England,3.06,Germany,2.97,2.60,2010
Ghana,3.10,USA,2.41,3.22,2010
South Korea,3.34,Uruguay,1.84,4.90,2010
Spain,4.15,Chile,6.89,1.51,2010
Honduras,4.01,Switzerland,1.55,6.62,2010
Ivory Coast,4.99,North Korea,9.35,1.35,2010
Brazil,2.92,Portugal,3.51,2.38,2010
Netherlands,3.81,Cameroon,5.53,1.65,2010
Japan,3.24,Denmark,2.26,3.37,2010
New Zealand,4.48,Paraguay,1.39,9.53,2010
Italy,3.84,Slovakia,6.97,1.55,2010
Serbia,3.59,Australia,4.46,1.83,2010
Germany,4.34,Ghana,7.80,1.45,2010
England,4.31,Slovenia,8.07,1.45,2010
Algeria,3.60,USA,1.87,4.22,2010
Argentina,4.24,Greece,7.35,1.48,2010
South Korea,3.30,Nigeria,2.93,2.47,2010
South Africa,3.48,France,2.09,3.54,2010
Uruguay,1.96,Mexico,3.74,3.65,2010
Honduras,8.78,Spain,1.12,24.25,2010
Switzerland,3.18,Chile,2.17,3.67,2010
North Korea,4.48,Portugal,1.37,10.32,2010
Ivory Coast,3.48,Brazil,1.73,5.42,2010
New Zealand,5.89,Italy,1.22,16.73,2010
Paraguay,3.24,Slovakia,3.87,2.07,2010
Denmark,3.20,Cameroon,2.89,2.57,2010
Australia,3.15,Ghana,2.37,3.23,2010
Japan,4.16,Netherlands,1.44,8.95,2010
Algeria,5.88,England,1.23,15.93,2010
USA,3.22,Slovenia,3.75,2.12,2010
Serbia,3.65,Germany,1.64,5.74,2010
Mexico,3.15,France,2.09,3.95,2010
Nigeria,3.18,Greece,3.79,2.12,2010
South Korea,3.87,Argentina,1.51,7.59,2010
Uruguay,3.02,South Africa,3.37,2.38,2010
Switzerland,5.30,Spain,1.27,14.32,2010
Chile,3.46,Honduras,5.81,1.70,2010
Spain,3.38,Netherlands,3.90,2.02,2010
Germany,3.68,Uruguay,3.86,1.93,2010
Spain,3.38,Germany,2.81,2.53,2010
Netherlands,3.55,Uruguay,5.68,1.69,2010
Spain,4.27,Paraguay,9.00,1.42,2010
Germany,3.29,Argentina,2.32,3.19,2010
Ghana,3.37,Uruguay,1.86,4.52,2010
Brazil,3.28,Netherlands,4.10,2.00,2010
Portugal,3.23,Spain,2.00,4.19,2010
Japan,3.17,Paraguay,2.20,3.60,2010
Chile,3.82,Brazil,1.53,6.99,2010
Slovakia,4.50,Netherlands,1.39,9.63,2010
Mexico,3.73,Argentina,1.61,6.24,2010
England,3.06,Germany,2.97,2.60,2010
Ghana,3.10,USA,2.41,3.22,2010
South Korea,3.34,Uruguay,1.84,4.90,2010
Spain,4.15,Chile,6.89,1.51,2010
Honduras,4.01,Switzerland,1.55,6.62,2010
Ivory Coast,4.99,North Korea,9.35,1.35,2010
Brazil,2.92,Portugal,3.51,2.38,2010
Netherlands,3.81,Cameroon,5.53,1.65,2010
Japan,3.24,Denmark,2.26,3.37,2010
New Zealand,4.48,Paraguay,1.39,9.53,2010
Italy,3.84,Slovakia,6.97,1.55,2010
Serbia,3.59,Australia,4.46,1.83,2010
Germany,4.34,Ghana,7.80,1.45,2010
England,4.31,Slovenia,8.07,1.45,2010
Algeria,3.60,USA,1.87,4.22,2010
Argentina,4.24,Greece,7.35,1.48,2010
South Korea,3.30,Nigeria,2.93,2.47,2010
South Africa,3.48,France,2.09,3.54,2010
Uruguay,1.96,Mexico,3.74,3.65,2010
Honduras,8.78,Spain,1.12,24.25,2010
Switzerland,3.18,Chile,2.17,3.67,2010
North Korea,4.48,Portugal,1.37,10.32,2010
Ivory Coast,3.48,Brazil,1.73,5.42,2010
New Zealand,5.89,Italy,1.22,16.73,2010
Paraguay,3.24,Slovakia,3.87,2.07,2010
Denmark,3.20,Cameroon,2.89,2.57,2010
Australia,3.15,Ghana,2.37,3.23,2010
Japan,4.16,Netherlands,1.44,8.95,2010
Algeria,5.88,England,1.23,15.93,2010
USA,3.22,Slovenia,3.75,2.12,2010
Serbia,3.65,Germany,1.64,5.74,2010
Mexico,3.15,France,2.09,3.95,2010
Nigeria,3.18,Greece,3.79,2.12,2010
South Korea,3.87,Argentina,1.51,7.59,2010
Uruguay,3.02,South Africa,3.37,2.38,2010
Switzerland,5.30,Spain,1.27,14.32,2010
Chile,3.46,Honduras,5.81,1.70,2010
North Korea,9.61,Brazil,1.10,32.67,2010
Portugal,3.20,Ivory Coast,3.96,2.06,2010
Slovakia,3.94,New Zealand,7.65,1.50,2010
Paraguay,3.04,Italy,2.18,3.82,2010
Cameroon,3.12,Japan,3.66,2.19,2010
Denmark,4.01,Netherlands,1.51,7.30,2010
Australia,3.89,Germany,1.52,7.34,2010
Ghana,3.22,Serbia,2.01,4.07,2010
Slovenia,3.14,Algeria,3.73,2.14,2010
USA,4.12,England,1.51,7.00,2010
Nigeria,4.58,Argentina,1.39,8.96,2010
Greece,3.01,South Korea,2.72,2.87,2010
France,3.15,Uruguay,3.57,2.21,2010
Mexico,3.13,South Africa,2.96,2.57,2010
Costa Rica,4.30,Uruguay,1.41,8.30,2010
Ireland,4.07,France,1.49,7.25,2010
Portugal,3.37,Bosnia & Herzegovina,3.30,2.19,2010
Russia,3.23,Slovenia,3.36,2.24,2010
Greece,3.28,Ukraine,1.87,4.64,2010
Egypt,3.20,Algeria,3.85,2.01,2010
Mali,3.90,Ghana,1.48,7.07,2010
Uruguay,3.25,Costa Rica,3.05,2.29,2010
Bosnia & Herzegovina,4.59,Portugal,1.40,8.41,2010
France,3.00,Ireland,3.44,2.32,2010
Ukraine,3.07,Greece,2.37,3.22,2010
Algeria,3.88,Egypt,1.55,5.87,2010
Benin,3.39,Sudan,2.03,3.48,2010
Slovenia,4.22,Russia,1.44,8.01,2010
Malawi,3.91,Burkina Faso,1.54,5.84,2010
Guinea,4.32,Ivory Coast,1.41,7.60,2010
Cameroon,3.36,Morocco,3.76,1.95,2010
Gabon,3.37,Togo,2.34,2.85,2010
Zambia,3.21,Rwanda,2.31,3.03,2010
Nigeria,4.10,Kenya,6.69,1.47,2010
Tunisia,3.61,Mozambique,5.05,1.67,2010
Bahrain,3.10,New Zealand,2.77,2.60,2010
Honduras,3.66,El Salvador,4.42,1.74,2010
Mexico,3.79,Trinidad & Tobago,5.76,1.56,2010
Costa Rica,3.45,USA,1.85,4.24,2010
Colombia,3.67,Paraguay,1.63,5.76,2010
Venezuela,6.90,Brazil,1.16,15.49,2010
Ecuador,3.58,Chile,2.01,3.50,2010
Argentina,3.34,Uruguay,2.50,2.74,2010
Bolivia,3.55,Peru,1.79,4.53,2010
Belarus,6.92,England,1.15,17.22,2010
Austria,4.80,France,1.33,9.99,2010
Hungary,4.00,Denmark,1.51,6.78,2010
Malta,22.80,Portugal,1.01,62.60,2010
Albania,5.93,Sweden,1.22,13.16,2010
Belgium,3.46,Estonia,4.23,1.87,2010
Northern Ireland,4.91,Czech Republic,1.34,9.26,2010
Slovakia,3.40,Poland,3.04,2.29,2010
Slovenia,17.41,San Marino,40.63,1.02,2010
Spain,3.43,Bosnia & Herzegovina,3.45,2.10,2010
Georgia,4.15,Bulgaria,1.45,7.56,2010
Luxembourg,14.04,Greece,1.03,39.98,2010
Montenegro,3.64,Ireland,1.59,6.51,2010
Cyprus,5.03,Italy,1.32,9.59,2010
Moldova,4.01,Latvia,1.50,6.99,2010
Wales,3.70,Liechtenstein,5.69,1.64,2010
Serbia,3.33,Lithuania,3.63,2.07,2010
Faroe Islands,10.27,Romania,1.06,27.16,2010
Israel,3.46,Switzerland,1.72,5.33,2010
Armenia,5.67,Turkey,1.25,11.77,2010
Russia,4.75,Azerbaijan,8.14,1.36,2010
Finland,5.17,Germany,1.28,10.73,2010
Ukraine,22.80,Andorra,64.60,1.01,2010
Croatia,4.99,Kazakhstan,8.61,1.34,2010
Brazil,3.51,Bolivia,4.06,1.89,2010
Rwanda,7.57,Algeria,1.12,16.08,2010
Sudan,4.90,Mali,1.28,9.98,2010
Burkina Faso,3.29,Guinea,2.42,2.72,2010
Mozambique,5.99,Nigeria,1.20,13.14,2010
Kenya,5.95,Tunisia,1.20,12.95,2010
Ghana,3.29,Benin,2.90,2.28,2010
Trinidad & Tobago,5.24,Costa Rica,1.24,11.15,2010
USA,3.22,Honduras,2.46,2.76,2010
Peru,8.97,Argentina,1.10,20.45,2010
Chile,3.35,Colombia,2.06,3.54,2010
Uruguay,3.51,Ecuador,1.82,4.34,2010
Paraguay,3.29,Venezuela,2.25,3.20,2010
El Salvador,6.63,Mexico,1.15,14.63,2010
Hungary,7.24,Portugal,1.14,16.62,2010
Faroe Islands,17.00,France,1.01,49.75,2010
Italy,2.71,Ireland,3.61,2.41,2010
Moldova,6.72,Israel,1.20,13.99,2010
Turkey,3.31,Belgium,3.14,2.28,2010
Lithuania,3.70,Austria,1.67,5.31,2010
Poland,4.10,Czech Republic,1.51,6.64,2010
Latvia,4.64,Greece,1.38,8.12,2010
Romania,3.65,Serbia,1.66,5.64,2010
Slovenia,2.51,Slovakia,2.21,4.75,2010
Sweden,3.19,Denmark,2.46,2.93,2010
Azerbaijan,3.16,Liechtenstein,2.64,2.74,2010
Bulgaria,3.35,Cyprus,4.21,1.93,2010
Georgia,3.68,Montenegro,1.63,5.63,2010
England,3.50,Ukraine,3.06,2.30,2010
Spain,6.53,Armenia,16.92,1.16,2010
Bosnia & Herzegovina,4.17,Estonia,7.92,1.41,2010
Switzerland,8.65,Luxembourg,20.76,1.10,2010
New Zealand,4.15,Bahrain,1.42,7.71,2010
Kazakhstan,4.88,Belarus,1.31,10.22,2010
Germany,3.29,Russia,2.36,2.95,2010
Togo,4.61,Cameroon,1.31,10.12,2010
Morocco,3.23,Gabon,2.21,3.09,2010
Wales,3.37,Finland,1.88,4.35,2010
Ivory Coast,4.16,Malawi,8.65,1.37,2010
Egypt,3.30,Zambia,3.94,1.94,2010
Chile,4.07,Brazil,1.47,7.14,2010
Peru,3.62,Venezuela,1.65,5.57,2010
Costa Rica,3.32,El Salvador,3.35,2.10,2010
Honduras,4.16,Mexico,1.41,7.81,2010
USA,3.93,Trinidad & Tobago,7.03,1.48,2010
Argentina,3.22,Paraguay,3.80,2.04,2010
Colombia,3.59,Uruguay,1.70,5.05,2010
Estonia,14.34,Spain,1.03,35.86,2010
Bahrain,3.51,Saudi Arabia,1.66,5.60,2010
Ecuador,3.32,Bolivia,2.73,2.52,2010
